Household,Family Size,Location,Ownership,First Income,Second Income,Monthly Payment,Utilities,Debt
1,2,2,1,58206,38503,1585,252,5692
2,6,2,0,48273,29197,1314,216,4267
3,3,4,0,37582,28164,383,207,2903
4,1,1,1,56610,,1002,249,3896
5,3,3,0,37731,21454,743,217,3011
6,4,1,0,30434,26007,991,208,3718
7,1,1,1,47969,,849,243,5907
8,1,1,1,55487,,752,242,2783
9,3,2,1,59947,,1498,256,6275
10,6,1,0,36970,31838,991,222,4845
11,1,1,1,53113,,1163,251,5267
12,3,4,0,27350,20969,619,209,2256
13,1,1,1,48064,,1434,250,3918
14,2,4,0,29692,20617,997,190,879
15,4,4,1,25853,,948,254,4606
16,3,1,1,49728,,1378,272,5427
17,2,3,0,49883,29240,902,201,3482
18,4,1,1,46265,,1626,256,6658
19,2,1,1,49809,,834,253,4234
20,4,4,1,43640,,729,259,5393
21,1,1,1,57395,,1473,248,4456
22,1,3,1,52847,,1038,245,3999
23,2,2,1,59486,,933,251,2598
24,4,2,1,57577,52088,903,255,6261
25,1,2,1,63825,,1346,250,5402
26,3,1,0,66868,57974,574,202,3911
27,2,2,1,48376,39894,1407,257,5889
28,4,4,1,33646,,606,264,4275
29,3,2,1,65241,47205,699,254,5737
30,3,1,1,34531,21536,988,264,5538
31,3,4,0,18846,12196,746,214,1852
32,3,1,1,49181,35091,1510,264,7020
33,4,2,1,65276,61140,1091,261,7212
34,2,4,0,23597,20798,402,211,1796
35,5,3,0,28851,22682,696,225,3452
36,3,2,1,62276,31231,1548,249,6428
37,4,1,1,42639,32912,919,258,4469
38,2,2,1,35592,23074,1669,245,5516
39,3,1,1,49777,27773,1049,256,5239
40,3,4,1,21451,13309,493,259,3731
41,7,3,1,37808,28022,722,286,7228
42,3,1,1,56375,,881,261,3441
43,5,2,1,67798,33945,1424,264,6067
44,1,1,1,29805,,1161,253,5462
45,1,4,0,35289,,457,192,1734
46,5,2,1,63354,52656,1458,277,6153
47,2,3,0,30693,23046,977,199,3763
48,2,2,1,68806,,1453,251,4930
49,1,2,1,66770,,1658,257,6025
50,1,2,1,59321,,1664,247,5314
51,4,2,1,49954,30758,1062,260,5179
52,2,2,1,55752,37404,1660,253,5768
53,5,3,0,43436,21855,699,215,2767
54,5,3,1,36780,21609,573,279,5311
55,3,1,0,64489,43448,748,207,3934
56,2,1,1,30433,23929,1318,244,4648
57,5,4,0,20234,17507,572,223,3030
58,2,3,1,32848,,720,254,4113
59,2,4,0,16252,11539,669,206,1428
60,3,2,1,75225,71930,1272,260,6434
61,2,3,1,38838,36513,1084,247,4428
62,3,2,1,60993,44220,1476,257,6675
63,2,1,0,31051,26520,1033,195,1821
64,1,1,1,43847,,847,244,4264
65,1,3,1,39862,,1472,250,4809
66,2,4,0,27222,17215,520,201,3705
67,2,4,0,27651,18644,501,195,3661
68,3,2,1,53650,50636,1292,259,7043
69,5,1,0,42168,39108,490,221,1739
70,4,3,1,36472,33832,1435,260,5895
71,2,2,1,66346,,1914,247,6584
72,4,1,1,63572,54048,1123,249,6165
73,2,3,1,50233,39539,1293,259,7177
74,3,4,0,35466,28368,776,212,3949
75,2,2,1,77892,74072,875,246,6309
76,4,2,1,53117,48393,1534,254,6956
77,4,2,1,56310,41558,1283,261,7363
78,3,1,1,58563,43579,1138,272,4848
79,2,3,1,33105,,976,249,3634
80,4,1,1,34259,28438,1302,251,5235
81,1,2,1,26910,,1028,244,3752
82,5,3,1,36065,28020,640,278,5430
83,2,2,1,56330,54315,989,254,5429
84,2,1,1,54863,41329,1751,245,6172
85,5,3,1,48304,,752,265,5131
86,3,4,0,36373,32341,428,207,3187
87,5,1,0,60940,57432,888,218,2615
88,3,1,1,53249,39777,1469,254,7415
89,2,2,1,59064,53545,943,255,4752
90,3,4,0,32061,27840,577,202,983
91,1,4,1,27377,,815,254,3233
92,2,2,0,48232,30728,1134,199,3285
93,3,2,1,62280,52654,1278,259,4497
94,3,3,1,37184,27569,1014,265,5736
95,2,2,1,64154,,1088,259,5048
96,2,2,1,86398,43989,1137,241,6145
97,6,4,1,41335,,959,278,6188
98,4,2,1,62522,55855,831,265,7345
99,3,3,0,41490,35158,578,205,3144
100,6,2,1,45391,30121,1040,275,5991
101,2,2,1,39367,,1233,245,3895
102,1,1,1,75865,,1078,239,5288
103,2,4,0,36588,30278,602,202,1800
104,2,3,0,48726,48694,622,203,3120
105,3,1,1,75208,,1503,254,6411
106,4,2,0,38740,24806,568,208,2584
107,4,4,0,26219,16165,530,211,3309
108,2,4,1,32806,,771,242,4410
109,4,1,1,46667,29334,1250,255,5735
110,4,2,1,65115,53755,1300,259,5481
111,3,3,0,40397,31725,576,214,2916
112,2,1,0,65601,54278,992,201,2671
113,1,1,0,43657,,848,191,4311
114,1,3,1,37523,,1829,250,5117
115,3,2,1,73734,73481,1731,264,4112
116,3,3,1,58580,51488,670,261,3671
117,3,1,1,55806,37384,1676,257,6247
118,1,3,1,31400,,1030,246,4726
119,3,3,1,48455,31331,635,270,5719
120,2,1,1,40858,34114,1049,247,5212
121,2,2,1,59737,59510,1588,254,5924
122,1,4,0,24478,,989,196,2871
123,4,4,0,36395,27650,655,215,3067
124,3,2,1,42843,36965,1500,261,4963
125,5,4,0,21557,14322,658,217,2606
126,3,3,0,37186,24577,689,204,2759
127,1,3,0,34806,,681,207,2592
128,2,3,1,35479,21271,964,255,3933
129,6,4,0,30584,17372,586,223,4229
130,1,1,1,52448,,1121,248,5412
131,5,1,1,39096,37336,1203,263,6631
132,5,4,0,24128,13889,762,216,2812
133,1,4,0,46342,,560,201,2792
134,3,4,0,23302,20987,626,223,2961
135,1,4,1,39578,,953,239,3863
136,2,2,1,49132,36007,2171,250,6796
137,2,2,1,56838,32021,810,252,5963
138,4,2,1,61955,57445,1460,253,6727
139,1,1,1,71211,,1514,253,5135
140,1,4,0,28837,,569,202,1552
141,5,3,0,34354,22543,778,228,5593
142,4,4,0,24442,12940,558,205,2013
143,5,4,0,22259,19683,680,223,2408
144,6,1,1,48910,40063,1007,268,6810
145,1,4,0,25713,,814,191,2163
146,3,4,1,22991,14387,1252,257,4661
147,2,2,1,84820,70096,1467,245,6661
148,1,4,0,27721,,723,198,2082
149,7,1,0,39602,32198,848,237,5906
150,3,1,0,31100,28489,1083,210,2072
151,3,2,1,58451,29753,1470,257,6623
152,4,4,0,20277,14502,500,215,2794
153,2,3,1,33963,33168,991,243,4006
154,1,1,1,45869,,1377,246,6206
155,1,2,1,62071,,1326,255,6186
156,1,4,0,30557,,601,211,1185
157,3,4,0,30482,18684,588,208,4557
158,3,1,1,90488,68619,1537,262,7904
159,3,1,1,61174,35481,1601,261,4504
160,3,4,1,28378,,644,256,4375
161,3,2,1,39847,32802,1573,253,5097
162,1,4,0,37154,,657,201,1348
163,5,1,0,42841,33961,892,213,2551
164,5,2,1,56072,55593,1248,271,6969
165,3,3,0,33442,21920,770,201,2584
166,4,1,1,28822,22936,959,257,8190
167,2,1,1,33018,,871,249,4591
168,3,2,1,30225,,1117,260,4560
169,5,3,1,42178,40211,1269,278,6286
170,2,3,0,28340,18533,627,198,1854
171,2,3,1,43027,38600,1235,251,4694
172,2,2,1,76547,53513,926,252,7161
173,3,4,0,41275,35920,1120,206,3826
174,1,2,1,59708,,1070,255,3274
175,3,1,0,68115,65099,1159,205,6910
176,3,3,0,25755,20267,847,209,2171
177,1,4,0,33699,,797,208,227
178,1,1,0,36384,,601,202,2391
179,4,4,0,25816,20903,562,209,3200
180,3,1,0,30415,17213,728,207,2781
181,1,1,0,34150,,643,205,1763
182,8,4,0,31484,24850,644,233,3688
183,5,2,1,68108,57895,1521,275,7025
184,4,4,0,26788,26101,1059,203,3864
185,1,1,1,68299,,1271,246,6579
186,3,3,1,36015,,1150,252,3073
187,3,1,1,46561,26631,1984,255,6440
188,3,4,1,52434,,1093,271,5594
189,2,4,0,37650,32230,534,201,2158
190,4,3,1,34308,25247,963,254,5121
191,4,1,1,53576,48666,1108,257,4263
192,2,1,1,46249,,1133,254,3931
193,1,4,1,33940,,1027,247,4923
194,1,4,1,37924,,653,248,4017
195,4,4,0,26167,16259,553,212,2353
196,10,4,0,33456,22267,405,226,4354
197,4,4,0,20182,16653,603,218,2989
198,3,2,1,65699,50202,1065,263,4977
199,4,2,1,59015,34549,1262,254,7340
200,6,2,1,81366,45443,1800,267,7850
201,4,4,0,31198,20115,497,213,2092
202,3,2,1,40383,31270,1086,256,5276
203,3,3,0,24578,23269,1286,207,3154
204,3,4,0,30002,18632,349,212,2808
205,1,4,1,42058,,884,254,4607
206,4,3,0,25835,15362,797,209,3136
207,1,4,0,18276,,478,196,1657
208,1,4,0,22380,,746,194,854
209,3,1,1,48893,,676,254,5112
210,4,1,0,60953,58573,1186,205,3374
211,4,3,0,29322,17787,674,212,1582
212,4,1,1,36170,,1185,253,5467
213,3,2,1,70692,69115,1088,252,6915
214,5,1,1,36742,19478,1304,262,5697
215,4,3,0,39255,36234,949,207,3848
216,3,1,0,43737,37196,797,206,3273
217,4,2,0,41401,33059,724,205,2554
218,4,4,0,23779,17567,784,207,2954
219,4,2,0,53165,33644,1740,199,6727
220,2,3,0,34756,21101,801,205,3163
221,2,3,0,49479,48203,647,201,3054
222,1,2,0,72949,,1522,200,3729
223,1,4,0,39987,,538,204,1570
224,1,1,0,34204,,838,197,1855
225,2,4,0,38975,32867,369,192,2494
226,1,1,1,39991,,796,246,3657
227,4,4,0,18706,9549,690,214,2672
228,4,3,0,52965,37370,766,214,5498
229,3,2,0,65318,58628,1687,219,3482
230,9,1,1,32630,25291,1391,287,7930
231,2,1,0,56645,47472,797,197,2910
232,6,1,1,40270,31773,854,276,6545
233,4,4,0,33538,26083,617,215,2375
234,3,4,1,37599,,1058,255,5605
235,1,1,1,59579,,1161,254,5364
236,4,3,0,32271,17847,818,211,3191
237,2,1,1,41427,,1377,249,4882
238,3,3,0,37235,20488,745,206,2100
239,2,3,1,31519,,1218,245,4669
240,1,2,1,73980,,823,244,3831
241,4,4,1,20514,18732,629,266,4441
242,3,2,1,81612,,1787,254,6863
243,4,1,1,65717,,1251,263,6689
244,3,1,1,50155,,1068,254,4262
245,2,4,1,35502,,829,253,3371
246,3,3,1,40874,33446,1217,260,6199
247,5,4,0,38425,35376,398,224,3822
248,5,3,1,30045,25054,924,271,6338
249,6,1,1,31644,19893,821,266,5859
250,2,4,0,34052,17805,585,200,2030
251,4,1,1,47336,30437,1044,261,4896
252,2,2,1,38007,21144,840,259,4505
253,5,4,0,21402,13964,788,222,2503
254,2,4,1,39353,,495,247,4631
255,1,2,0,64179,,1432,199,4287
256,1,2,1,67184,,756,242,4742
257,3,4,0,43163,22622,941,208,2491
258,1,2,0,51372,,887,191,1789
259,5,4,0,23763,21360,953,226,3829
260,4,4,0,20987,14189,355,214,3635
261,3,3,0,49819,36911,960,211,2853
262,2,1,1,58303,,1266,256,4910
263,4,2,0,71130,39826,1262,216,5036
264,3,3,1,37375,,985,255,3616
265,4,4,0,21701,20331,799,206,2493
266,1,4,0,27700,,728,203,555
267,1,1,0,32420,,1075,203,1352
268,2,2,1,65740,33583,1044,244,4646
269,4,4,1,37552,22103,893,260,4997
270,3,2,1,58182,37835,1576,248,8318
271,2,4,1,34662,22798,724,245,4596
272,3,4,0,38634,27213,549,207,2706
273,3,3,1,27085,,965,268,5298
274,3,2,1,60590,,1167,264,6004
275,2,2,1,98881,74825,1295,249,6608
276,5,1,1,46473,37134,1489,261,7121
277,1,3,1,54374,,804,252,5410
278,2,1,1,64630,62321,1585,249,7559
279,2,3,1,39320,,1259,254,4220
280,3,3,0,31461,20949,888,207,2621
281,4,3,0,38389,21554,712,222,3712
282,3,1,1,43179,,909,257,5218
283,3,4,0,31721,25940,525,210,1619
284,1,3,0,28835,,793,205,1003
285,2,1,1,65852,44595,908,246,6546
286,4,3,1,49156,,838,258,5598
287,5,2,1,57772,48723,1070,269,6650
288,3,3,0,45455,37997,732,217,2263
289,1,3,1,46890,,577,244,5140
290,10,3,0,48330,37135,616,230,4681
291,3,3,0,50724,38092,653,201,5330
292,4,2,1,48586,,679,258,4678
293,1,3,0,29289,,833,206,1413
294,1,1,0,36838,,621,192,2365
295,3,1,1,39080,,1103,259,4371
296,5,4,0,21382,16970,557,215,2265
297,2,1,1,42390,26173,1008,247,3516
298,2,2,1,48120,41952,1317,246,5620
299,2,4,1,35343,,556,239,4899
300,5,2,1,75049,55657,1380,272,5384
301,1,3,1,32316,,790,260,3138
302,3,3,0,46289,42421,778,208,2395
303,2,4,0,35883,19692,895,203,2350
304,3,3,1,37904,23890,1614,267,6846
305,3,3,1,54901,28768,1306,266,5224
306,4,3,0,32649,24742,1103,212,4999
307,2,4,1,16971,,807,241,3459
308,3,4,1,34431,,805,258,5426
309,5,4,0,30539,22543,334,213,2962
310,1,4,0,32697,,623,202,1340
311,4,2,1,84886,,1141,260,6490
312,3,1,0,29386,17430,875,205,2334
313,4,4,0,24109,20314,389,211,2560
314,2,1,1,36493,32221,1434,248,5504
315,4,1,1,55506,53412,1112,264,5924
316,3,3,1,39627,21831,933,264,5137
317,2,4,0,28910,14855,490,203,1129
318,4,3,1,24493,,1136,268,4678
319,3,1,1,41965,36335,1242,256,6195
320,2,1,0,69615,63710,1038,205,4300
321,3,2,1,41069,,1493,259,3374
322,1,4,0,22091,,613,208,2562
323,6,1,1,40813,21383,1039,266,5677
324,3,3,1,40742,,1403,258,4857
325,3,3,0,21699,13704,418,212,3074
326,3,3,0,24430,20987,610,214,2269
327,2,3,1,49744,,1734,254,5868
328,4,4,0,19316,10680,760,212,3452
329,8,1,1,52862,42294,1042,279,8323
330,3,2,0,83859,65582,1166,209,5906
331,2,2,1,46023,30393,1589,245,5452
332,1,4,0,26351,,623,201,2097
333,4,1,1,50383,35749,614,266,6669
334,5,1,1,36630,22871,1295,268,7437
335,6,1,1,39773,,853,272,5070
336,2,3,0,38891,23808,1060,202,1664
337,5,3,1,42323,28427,866,279,5509
338,3,2,1,43891,43745,1707,257,6445
339,5,2,1,71659,70436,1138,267,5896
340,5,3,0,35241,18677,553,221,3903
341,5,4,0,17881,10509,558,217,2818
342,3,4,0,35310,25405,675,203,2738
343,3,4,0,25167,19673,519,210,2468
344,1,4,0,24859,,509,201,2119
345,4,1,0,38993,26866,921,208,3089
346,5,3,1,30384,24582,1432,264,6805
347,3,2,1,56967,37901,1050,268,7739
348,1,4,1,53283,,974,248,3745
349,4,1,1,44436,32162,1217,264,6412
350,4,4,0,30527,27055,765,209,2204
351,5,2,1,95583,71599,1253,262,9104
352,5,3,0,24064,18095,755,218,3874
353,2,4,0,28950,18542,427,205,2067
354,2,3,0,33176,23897,711,201,3032
355,4,2,0,37297,28010,1830,212,5425
356,3,1,1,33653,26704,1055,266,3773
357,2,3,0,33723,27480,622,192,1588
358,2,1,0,45572,23213,931,202,4325
359,3,1,0,46672,28877,1054,215,2258
360,2,2,1,37093,18561,1287,248,3511
361,2,3,0,36588,32728,729,199,3123
362,2,2,1,43934,41731,1802,252,5914
363,3,4,0,28068,17927,603,206,3203
364,1,2,1,75737,,1596,249,5542
365,6,1,1,37107,30047,1331,271,7349
366,4,2,1,62634,59352,1355,256,4343
367,3,2,1,63946,62523,1321,251,6548
368,3,3,0,35943,20494,568,214,3001
369,1,4,1,24992,,579,242,3225
370,5,2,1,48643,36651,1439,264,6628
371,2,3,0,27160,26619,707,201,2765
372,4,2,1,49699,,1516,250,5072
373,2,2,1,47659,26827,1051,257,5891
374,3,3,0,39778,33336,812,212,2326
375,7,1,0,31090,21586,694,231,4468
376,2,3,1,42708,41601,753,253,6474
377,4,3,0,31238,29402,827,216,3579
378,1,2,1,60240,,989,252,4161
379,4,1,0,37117,34071,523,206,4268
380,4,2,0,43832,32996,760,200,3188
381,1,3,0,35105,,960,201,2372
382,3,2,0,45609,29602,991,209,3848
383,4,1,1,41914,38478,1223,270,5346
384,3,1,1,51202,29289,1619,267,6031
385,3,4,0,22393,11802,549,213,3051
386,3,1,0,49447,36562,854,208,4042
387,5,2,1,83363,72930,1799,267,6072
388,2,4,0,25997,13295,566,209,1817
389,4,4,0,46656,31044,671,210,2493
390,3,2,1,56857,49696,1533,247,7728
391,5,1,1,49943,34731,873,267,6309
392,1,1,1,72515,,1085,250,6349
393,2,1,0,53248,44398,490,192,1827
394,2,2,1,35572,31433,914,249,3566
395,4,3,1,32425,31348,1176,253,5659
396,2,3,0,46271,40282,941,208,1490
397,3,1,1,85621,81979,1827,260,6289
398,2,1,1,25076,21758,1081,252,3388
399,2,4,0,38697,24277,765,203,4138
400,5,4,0,32794,32704,405,216,3187
401,2,4,0,26101,13983,538,204,2049
402,8,4,0,25655,23464,493,234,3826
403,3,3,0,44158,32616,719,225,2609
404,6,3,1,24114,13577,925,265,4894
405,5,4,0,24503,16321,453,218,1974
406,1,2,1,48914,,1153,249,5167
407,4,4,0,23695,16558,510,211,2722
408,5,4,1,30372,,799,279,4205
409,2,3,0,24306,15467,540,199,3300
410,2,1,1,35079,29542,961,257,5067
411,1,1,0,25886,,820,205,1551
412,2,1,0,45625,40583,887,199,3250
413,3,3,1,39341,34520,773,270,6248
414,2,4,1,32433,22666,780,248,3482
415,2,1,0,64570,62590,931,202,3311
416,2,2,1,55665,,1048,252,6545
417,5,4,0,31657,31596,530,213,2780
418,4,2,1,85374,53417,1103,255,6845
419,1,2,1,76800,,1237,258,4260
420,2,3,1,38681,33853,956,251,5524
421,9,4,0,26380,22382,648,232,4229
422,6,1,1,71206,56268,1009,276,6647
423,2,2,1,69863,57019,1705,245,5764
424,2,3,0,37435,21724,996,201,4289
425,3,2,0,42419,40654,1187,206,2911
426,1,3,0,43482,,735,200,1783
427,5,1,1,48439,44434,1147,262,5940
428,1,2,0,45038,,984,201,2030
429,1,4,0,33087,,633,211,818
430,1,2,1,45993,,1689,248,4652
431,3,3,1,45220,25914,994,257,5226
432,1,3,0,29407,,857,203,2685
433,3,3,1,34933,21844,1705,256,6158
434,4,2,1,49206,37614,980,259,5567
435,4,3,1,61764,,1066,250,6303
436,2,2,1,64982,34370,1700,261,5562
437,3,3,0,20844,11948,861,216,1656
438,2,1,0,53607,33620,831,194,2489
439,4,3,0,38481,31892,475,210,2301
440,1,2,1,56151,,1128,252,3816
441,2,4,0,31118,30705,595,204,3482
442,5,2,1,53338,,793,274,5444
443,6,3,0,25246,15707,954,222,4001
444,4,2,1,32705,25029,1142,252,4802
445,5,2,1,79696,42497,814,273,7041
446,2,4,0,24327,24250,628,194,1675
447,5,1,1,84098,60049,1213,267,5861
448,3,4,0,23653,15052,474,216,1623
449,2,2,1,58305,,1171,247,5803
450,1,1,0,47570,,918,200,2689
451,3,4,0,20435,18013,547,215,2538
452,2,2,1,84675,,1068,249,4130
453,5,1,0,42603,30072,931,220,2958
454,3,1,0,35043,18189,930,207,2340
455,4,3,0,18782,13096,719,206,3330
456,1,1,0,32125,,597,196,1597
457,3,2,1,38157,27643,727,264,5260
458,3,3,0,29101,15967,500,206,3447
459,3,1,1,37869,30059,941,262,5642
460,4,3,0,26103,17435,934,215,2932
461,4,1,1,55264,46778,1420,265,6729
462,2,3,0,29718,17955,1240,206,2851
463,4,3,1,34884,,783,251,3871
464,3,3,0,33467,30032,1286,214,3210
465,1,3,0,18119,,1452,211,3523
466,8,2,1,46100,44847,820,286,6840
467,3,1,1,48369,,1222,259,5107
468,2,2,0,45275,29055,1076,197,1686
469,1,3,1,35430,,1029,259,3978
470,3,4,0,42249,32387,615,208,2658
471,3,1,1,84823,44388,1136,254,5801
472,1,2,1,60069,,1434,249,3578
473,2,4,1,28534,,760,255,3281
474,4,4,1,30433,28204,584,260,4823
475,3,1,1,53184,41624,1033,254,5889
476,1,3,0,49358,,562,205,2962
477,1,3,1,41628,,1732,253,5370
478,3,3,1,46389,,1780,258,6341
479,2,1,1,85051,,1307,246,5460
480,3,3,0,46703,40502,1078,205,3606
481,3,4,0,33268,17587,680,208,1909
482,3,2,1,76435,40136,1009,259,6806
483,2,4,1,37450,21464,618,248,3098
484,1,3,0,47244,,638,196,2896
485,3,3,0,57525,29514,1001,213,3436
486,3,4,1,33919,31371,713,259,4619
487,3,1,1,50643,37465,1436,261,5744
488,1,3,0,26610,,999,197,1629
489,5,2,1,52656,30422,747,266,6447
490,2,3,1,49255,35491,1280,253,4684
491,3,4,0,31142,18969,400,218,3409
492,5,1,1,39189,24834,1067,275,6570
493,3,4,0,46379,26253,484,215,1458
494,1,3,1,42313,,883,248,3132
495,2,1,1,46828,39596,1032,246,6001
496,3,1,0,42758,34067,1184,197,3194
497,5,2,1,66397,54716,990,274,8400
498,2,2,1,43599,33364,1603,253,5675
499,4,4,1,25713,,831,266,4879
500,1,4,1,39187,,948,251,3278
